datetime,ward_num,forecast_requests
2025-03-15 21:00:00,b_172,962
2025-03-15 22:00:00,b_172,985
2025-03-15 23:00:00,b_172,944
2025-03-16 00:00:00,b_172,955
2025-03-16 01:00:00,b_172,953
2025-03-16 02:00:00,b_172,939
2025-03-16 03:00:00,b_172,936
2025-03-16 04:00:00,b_172,956
2025-03-16 05:00:00,b_172,958
2025-03-16 06:00:00,b_172,932
2025-03-16 07:00:00,b_172,920
2025-03-16 08:00:00,b_172,955
2025-03-16 09:00:00,b_172,965
2025-03-16 10:00:00,b_172,862
2025-03-16 11:00:00,b_172,833
2025-03-16 12:00:00,b_172,879
2025-03-16 13:00:00,b_172,763
2025-03-16 14:00:00,b_172,677
2025-03-16 15:00:00,b_172,656
2025-03-16 16:00:00,b_172,847
2025-03-16 17:00:00,b_172,850
2025-03-16 18:00:00,b_172,683
2025-03-16 19:00:00,b_172,710
2025-03-16 20:00:00,b_172,799
