datetime,ward_num,forecast_requests
2025-03-15 21:00:00,b_17,147
2025-03-15 22:00:00,b_17,122
2025-03-15 23:00:00,b_17,96
2025-03-16 00:00:00,b_17,78
2025-03-16 01:00:00,b_17,86
2025-03-16 02:00:00,b_17,84
2025-03-16 03:00:00,b_17,79
2025-03-16 04:00:00,b_17,92
2025-03-16 05:00:00,b_17,97
2025-03-16 06:00:00,b_17,87
2025-03-16 07:00:00,b_17,92
2025-03-16 08:00:00,b_17,105
2025-03-16 09:00:00,b_17,101
2025-03-16 10:00:00,b_17,104
2025-03-16 11:00:00,b_17,107
2025-03-16 12:00:00,b_17,105
2025-03-16 13:00:00,b_17,104
2025-03-16 14:00:00,b_17,106
2025-03-16 15:00:00,b_17,105
2025-03-16 16:00:00,b_17,104
2025-03-16 17:00:00,b_17,105
2025-03-16 18:00:00,b_17,105
2025-03-16 19:00:00,b_17,106
2025-03-16 20:00:00,b_17,88
