datetime,ac_num,forecast_requests
2025-03-15 21:00:00,150,477
2025-03-15 22:00:00,150,480
2025-03-15 23:00:00,150,472
2025-03-16 00:00:00,150,489
2025-03-16 01:00:00,150,488
2025-03-16 02:00:00,150,480
2025-03-16 03:00:00,150,479
2025-03-16 04:00:00,150,482
2025-03-16 05:00:00,150,489
2025-03-16 06:00:00,150,488
2025-03-16 07:00:00,150,479
2025-03-16 08:00:00,150,474
2025-03-16 09:00:00,150,471
2025-03-16 10:00:00,150,444
2025-03-16 11:00:00,150,451
2025-03-16 12:00:00,150,466
2025-03-16 13:00:00,150,465
2025-03-16 14:00:00,150,459
2025-03-16 15:00:00,150,459
2025-03-16 16:00:00,150,471
2025-03-16 17:00:00,150,478
2025-03-16 18:00:00,150,460
2025-03-16 19:00:00,150,450
2025-03-16 20:00:00,150,453
2025-03-15 21:00:00,151,1640
2025-03-15 22:00:00,151,1704
2025-03-15 23:00:00,151,1728
2025-03-16 00:00:00,151,1852
2025-03-16 01:00:00,151,1976
2025-03-16 02:00:00,151,2023
2025-03-16 03:00:00,151,2073
2025-03-16 04:00:00,151,2111
2025-03-16 05:00:00,151,2154
2025-03-16 06:00:00,151,2141
2025-03-16 07:00:00,151,2104
2025-03-16 08:00:00,151,2079
2025-03-16 09:00:00,151,2076
2025-03-16 10:00:00,151,1875
2025-03-16 11:00:00,151,1745
2025-03-16 12:00:00,151,1702
2025-03-16 13:00:00,151,1657
2025-03-16 14:00:00,151,1476
2025-03-16 15:00:00,151,1456
2025-03-16 16:00:00,151,1108
2025-03-16 17:00:00,151,1083
2025-03-16 18:00:00,151,1026
2025-03-16 19:00:00,151,1013
2025-03-16 20:00:00,151,1067
2025-03-15 21:00:00,152,1170
2025-03-15 22:00:00,152,1113
2025-03-15 23:00:00,152,1112
2025-03-16 00:00:00,152,1295
2025-03-16 01:00:00,152,1319
2025-03-16 02:00:00,152,1316
2025-03-16 03:00:00,152,1383
2025-03-16 04:00:00,152,1352
2025-03-16 05:00:00,152,1259
2025-03-16 06:00:00,152,1254
2025-03-16 07:00:00,152,1236
2025-03-16 08:00:00,152,1137
2025-03-16 09:00:00,152,1095
2025-03-16 10:00:00,152,1049
2025-03-16 11:00:00,152,1009
2025-03-16 12:00:00,152,1010
2025-03-16 13:00:00,152,1006
2025-03-16 14:00:00,152,965
2025-03-16 15:00:00,152,994
2025-03-16 16:00:00,152,1045
2025-03-16 17:00:00,152,1067
2025-03-16 18:00:00,152,1029
2025-03-16 19:00:00,152,1039
2025-03-16 20:00:00,152,1062
2025-03-15 21:00:00,153,772
2025-03-15 22:00:00,153,1015
2025-03-15 23:00:00,153,1087
2025-03-16 00:00:00,153,1185
2025-03-16 01:00:00,153,1303
2025-03-16 02:00:00,153,1323
2025-03-16 03:00:00,153,1368
2025-03-16 04:00:00,153,1368
2025-03-16 05:00:00,153,1304
2025-03-16 06:00:00,153,1259
2025-03-16 07:00:00,153,1238
2025-03-16 08:00:00,153,1150
2025-03-16 09:00:00,153,1097
2025-03-16 10:00:00,153,1049
2025-03-16 11:00:00,153,1011
2025-03-16 12:00:00,153,1010
2025-03-16 13:00:00,153,1005
2025-03-16 14:00:00,153,965
2025-03-16 15:00:00,153,994
2025-03-16 16:00:00,153,1046
2025-03-16 17:00:00,153,1056
2025-03-16 18:00:00,153,1041
2025-03-16 19:00:00,153,1044
2025-03-16 20:00:00,153,1025
2025-03-15 21:00:00,154,1090
2025-03-15 22:00:00,154,1153
2025-03-15 23:00:00,154,1145
2025-03-16 00:00:00,154,1290
2025-03-16 01:00:00,154,1306
2025-03-16 02:00:00,154,1311
2025-03-16 03:00:00,154,1374
2025-03-16 04:00:00,154,1348
2025-03-16 05:00:00,154,1261
2025-03-16 06:00:00,154,1252
2025-03-16 07:00:00,154,1234
2025-03-16 08:00:00,154,1137
2025-03-16 09:00:00,154,1095
2025-03-16 10:00:00,154,1049
2025-03-16 11:00:00,154,1009
2025-03-16 12:00:00,154,1010
2025-03-16 13:00:00,154,1006
2025-03-16 14:00:00,154,965
2025-03-16 15:00:00,154,994
2025-03-16 16:00:00,154,1045
2025-03-16 17:00:00,154,1067
2025-03-16 18:00:00,154,1029
2025-03-16 19:00:00,154,1038
2025-03-16 20:00:00,154,1034
2025-03-15 21:00:00,155,377
2025-03-15 22:00:00,155,335
2025-03-15 23:00:00,155,319
2025-03-16 00:00:00,155,397
2025-03-16 01:00:00,155,411
2025-03-16 02:00:00,155,329
2025-03-16 03:00:00,155,332
2025-03-16 04:00:00,155,417
2025-03-16 05:00:00,155,410
2025-03-16 06:00:00,155,332
2025-03-16 07:00:00,155,342
2025-03-16 08:00:00,155,417
2025-03-16 09:00:00,155,413
2025-03-16 10:00:00,155,343
2025-03-16 11:00:00,155,343
2025-03-16 12:00:00,155,430
2025-03-16 13:00:00,155,426
