datetime,ward_num,forecast_requests
2025-03-15 20:00:00,1,25
2025-03-15 21:00:00,1,24
2025-03-15 22:00:00,1,24
2025-03-15 23:00:00,1,23
2025-03-16 00:00:00,1,7
2025-03-16 01:00:00,1,6
2025-03-16 02:00:00,1,6
2025-03-16 03:00:00,1,6
2025-03-16 04:00:00,1,5
2025-03-16 05:00:00,1,5
2025-03-16 06:00:00,1,23
2025-03-16 07:00:00,1,29
2025-03-16 08:00:00,1,29
2025-03-16 09:00:00,1,29
2025-03-16 10:00:00,1,28
2025-03-16 11:00:00,1,19
2025-03-16 12:00:00,1,19
2025-03-16 13:00:00,1,20
2025-03-16 14:00:00,1,19
2025-03-16 15:00:00,1,21
2025-03-16 16:00:00,1,28
2025-03-16 17:00:00,1,31
2025-03-16 18:00:00,1,30
2025-03-16 19:00:00,1,29
2025-03-15 20:00:00,2,36
2025-03-15 21:00:00,2,36
2025-03-15 22:00:00,2,35
2025-03-15 23:00:00,2,30
2025-03-16 00:00:00,2,9
2025-03-16 01:00:00,2,7
2025-03-16 02:00:00,2,7
2025-03-16 03:00:00,2,6
2025-03-16 04:00:00,2,6
2025-03-16 05:00:00,2,5
2025-03-16 06:00:00,2,31
2025-03-16 07:00:00,2,34
2025-03-16 08:00:00,2,36
2025-03-16 09:00:00,2,36
2025-03-16 10:00:00,2,31
2025-03-16 11:00:00,2,27
2025-03-16 12:00:00,2,25
2025-03-16 13:00:00,2,24
2025-03-16 14:00:00,2,24
2025-03-16 15:00:00,2,29
2025-03-16 16:00:00,2,32
2025-03-16 17:00:00,2,37
2025-03-16 18:00:00,2,41
2025-03-16 19:00:00,2,35
2025-03-15 20:00:00,3,43
2025-03-15 21:00:00,3,45
2025-03-15 22:00:00,3,45
2025-03-15 23:00:00,3,33
2025-03-16 00:00:00,3,29
2025-03-16 01:00:00,3,13
2025-03-16 02:00:00,3,7
2025-03-16 03:00:00,3,7
2025-03-16 04:00:00,3,7
2025-03-16 05:00:00,3,6
2025-03-16 06:00:00,3,35
2025-03-16 07:00:00,3,37
2025-03-16 08:00:00,3,38
2025-03-16 09:00:00,3,44
2025-03-16 10:00:00,3,35
2025-03-16 11:00:00,3,29
2025-03-16 12:00:00,3,29
2025-03-16 13:00:00,3,27
2025-03-16 14:00:00,3,25
2025-03-16 15:00:00,3,33
2025-03-16 16:00:00,3,39
2025-03-16 17:00:00,3,43
2025-03-16 18:00:00,3,50
2025-03-16 19:00:00,3,49
2025-03-15 20:00:00,4,54
2025-03-15 21:00:00,4,54
2025-03-15 22:00:00,4,54
2025-03-15 23:00:00,4,35
2025-03-16 00:00:00,4,29
2025-03-16 01:00:00,4,18
2025-03-16 02:00:00,4,7
2025-03-16 03:00:00,4,6
2025-03-16 04:00:00,4,6
2025-03-16 05:00:00,4,6
2025-03-16 06:00:00,4,36
2025-03-16 07:00:00,4,36
2025-03-16 08:00:00,4,39
2025-03-16 09:00:00,4,46
2025-03-16 10:00:00,4,37
2025-03-16 11:00:00,4,32
2025-03-16 12:00:00,4,30
2025-03-16 13:00:00,4,29
2025-03-16 14:00:00,4,27
2025-03-16 15:00:00,4,33
2025-03-16 16:00:00,4,37
2025-03-16 17:00:00,4,41
2025-03-16 18:00:00,4,51
2025-03-16 19:00:00,4,50
2025-03-15 20:00:00,5,53
2025-03-15 21:00:00,5,53
2025-03-15 22:00:00,5,53
2025-03-15 23:00:00,5,43
2025-03-16 00:00:00,5,43
2025-03-16 01:00:00,5,34
2025-03-16 02:00:00,5,21
2025-03-16 03:00:00,5,9
2025-03-16 04:00:00,5,6
2025-03-16 05:00:00,5,6
2025-03-16 06:00:00,5,37
2025-03-16 07:00:00,5,38
2025-03-16 08:00:00,5,41
2025-03-16 09:00:00,5,53
2025-03-16 10:00:00,5,47
2025-03-16 11:00:00,5,39
2025-03-16 12:00:00,5,39
2025-03-16 13:00:00,5,34
2025-03-16 14:00:00,5,31
2025-03-16 15:00:00,5,36
2025-03-16 16:00:00,5,36
2025-03-16 17:00:00,5,40
2025-03-16 18:00:00,5,50
2025-03-16 19:00:00,5,51
