datetime,ac_num,forecast_requests
2025-03-16 08:00:00,150,341
2025-03-16 09:00:00,150,346
2025-03-16 10:00:00,150,365
2025-03-16 11:00:00,150,374
2025-03-16 12:00:00,150,391
2025-03-16 13:00:00,150,378
2025-03-16 14:00:00,150,383
2025-03-16 15:00:00,150,393
2025-03-16 16:00:00,150,404
2025-03-16 17:00:00,150,433
2025-03-16 18:00:00,150,415
2025-03-16 19:00:00,150,410
2025-03-16 20:00:00,150,397
2025-03-16 21:00:00,150,395
2025-03-16 22:00:00,150,406
2025-03-16 23:00:00,150,393
2025-03-17 00:00:00,150,420
2025-03-17 01:00:00,150,437
2025-03-17 02:00:00,150,408
2025-03-17 03:00:00,150,408
2025-03-17 04:00:00,150,437
2025-03-17 05:00:00,150,419
2025-03-17 06:00:00,150,407
2025-03-17 07:00:00,150,428
2025-03-16 08:00:00,151,1249
2025-03-16 09:00:00,151,1207
2025-03-16 10:00:00,151,1215
2025-03-16 11:00:00,151,1252
2025-03-16 12:00:00,151,1214
2025-03-16 13:00:00,151,1188
2025-03-16 14:00:00,151,1221
2025-03-16 15:00:00,151,1223
2025-03-16 16:00:00,151,1179
2025-03-16 17:00:00,151,1204
2025-03-16 18:00:00,151,1252
2025-03-16 19:00:00,151,1156
2025-03-16 20:00:00,151,958
2025-03-16 21:00:00,151,972
2025-03-16 22:00:00,151,958
2025-03-16 23:00:00,151,805
2025-03-17 00:00:00,151,900
2025-03-17 01:00:00,151,961
2025-03-17 02:00:00,151,798
2025-03-17 03:00:00,151,766
2025-03-17 04:00:00,151,955
2025-03-17 05:00:00,151,909
2025-03-17 06:00:00,151,754
2025-03-17 07:00:00,151,871
2025-03-16 08:00:00,152,680
2025-03-16 09:00:00,152,706
2025-03-16 10:00:00,152,750
2025-03-16 11:00:00,152,720
2025-03-16 12:00:00,152,749
2025-03-16 13:00:00,152,781
2025-03-16 14:00:00,152,773
2025-03-16 15:00:00,152,818
2025-03-16 16:00:00,152,816
2025-03-16 17:00:00,152,791
2025-03-16 18:00:00,152,799
2025-03-16 19:00:00,152,821
2025-03-16 20:00:00,152,684
2025-03-16 21:00:00,152,674
2025-03-16 22:00:00,152,702
2025-03-16 23:00:00,152,623
2025-03-17 00:00:00,152,588
2025-03-17 01:00:00,152,667
2025-03-17 02:00:00,152,642
2025-03-17 03:00:00,152,595
2025-03-17 04:00:00,152,642
2025-03-17 05:00:00,152,640
2025-03-17 06:00:00,152,607
2025-03-17 07:00:00,152,628
2025-03-16 08:00:00,153,309
2025-03-16 09:00:00,153,321
2025-03-16 10:00:00,153,325
2025-03-16 11:00:00,153,317
2025-03-16 12:00:00,153,322
2025-03-16 13:00:00,153,331
2025-03-16 14:00:00,153,324
2025-03-16 15:00:00,153,325
2025-03-16 16:00:00,153,325
2025-03-16 17:00:00,153,325
2025-03-16 18:00:00,153,324
2025-03-16 19:00:00,153,324
2025-03-16 20:00:00,153,264
2025-03-16 21:00:00,153,257
2025-03-16 22:00:00,153,247
2025-03-16 23:00:00,153,175
2025-03-17 00:00:00,153,166
2025-03-17 01:00:00,153,189
2025-03-17 02:00:00,153,139
2025-03-17 03:00:00,153,145
2025-03-17 04:00:00,153,197
2025-03-17 05:00:00,153,163
2025-03-17 06:00:00,153,174
2025-03-17 07:00:00,153,209
2025-03-16 08:00:00,154,748
2025-03-16 09:00:00,154,807
2025-03-16 10:00:00,154,816
