datetime,ward_num,forecast_requests
2025-03-15 20:00:00,1,55
2025-03-15 21:00:00,1,53
2025-03-15 22:00:00,1,51
2025-03-15 23:00:00,1,49
2025-03-16 00:00:00,1,52
2025-03-16 01:00:00,1,51
2025-03-16 02:00:00,1,45
2025-03-16 03:00:00,1,50
2025-03-16 04:00:00,1,56
2025-03-16 05:00:00,1,47
2025-03-16 06:00:00,1,49
2025-03-16 07:00:00,1,57
2025-03-16 08:00:00,1,48
2025-03-16 09:00:00,1,48
2025-03-16 10:00:00,1,57
2025-03-16 11:00:00,1,49
2025-03-16 12:00:00,1,48
2025-03-16 13:00:00,1,55
2025-03-16 14:00:00,1,51
2025-03-16 15:00:00,1,45
2025-03-16 16:00:00,1,51
2025-03-16 17:00:00,1,55
2025-03-16 18:00:00,1,43
2025-03-16 19:00:00,1,49
