datetime,ac_num,forecast_requests
2025-03-16 03:00:00,150,324
2025-03-16 04:00:00,150,323
2025-03-16 05:00:00,150,333
2025-03-16 06:00:00,150,337
2025-03-16 07:00:00,150,338
2025-03-16 08:00:00,150,346
2025-03-16 09:00:00,150,352
2025-03-16 10:00:00,150,362
2025-03-16 11:00:00,150,369
2025-03-16 12:00:00,150,374
2025-03-16 13:00:00,150,391
2025-03-16 14:00:00,150,393
2025-03-16 15:00:00,150,410
2025-03-16 16:00:00,150,424
2025-03-16 17:00:00,150,403
2025-03-16 18:00:00,150,403
2025-03-16 19:00:00,150,429
2025-03-16 20:00:00,150,314
2025-03-16 21:00:00,150,304
2025-03-16 22:00:00,150,265
2025-03-16 23:00:00,150,208
2025-03-17 00:00:00,150,245
2025-03-17 01:00:00,150,239
2025-03-17 02:00:00,150,202
2025-03-16 03:00:00,151,324
2025-03-16 04:00:00,151,323
2025-03-16 05:00:00,151,333
2025-03-16 06:00:00,151,337
2025-03-16 07:00:00,151,338
2025-03-16 08:00:00,151,346
2025-03-16 09:00:00,151,352
2025-03-16 10:00:00,151,362
2025-03-16 11:00:00,151,369
2025-03-16 12:00:00,151,374
2025-03-16 13:00:00,151,391
2025-03-16 14:00:00,151,393
2025-03-16 15:00:00,151,410
2025-03-16 16:00:00,151,424
2025-03-16 17:00:00,151,403
2025-03-16 18:00:00,151,403
2025-03-16 19:00:00,151,429
2025-03-16 20:00:00,151,314
2025-03-16 21:00:00,151,304
2025-03-16 22:00:00,151,265
2025-03-16 23:00:00,151,208
2025-03-17 00:00:00,151,245
2025-03-17 01:00:00,151,239
2025-03-17 02:00:00,151,202
2025-03-16 03:00:00,152,217
2025-03-16 04:00:00,152,187
2025-03-16 05:00:00,152,196
2025-03-16 06:00:00,152,217
2025-03-16 07:00:00,152,210
2025-03-16 08:00:00,152,204
2025-03-16 09:00:00,152,203
2025-03-16 10:00:00,152,204
2025-03-16 11:00:00,152,200
2025-03-16 12:00:00,152,200
2025-03-16 13:00:00,152,207
2025-03-16 14:00:00,152,205
2025-03-16 15:00:00,152,199
2025-03-16 16:00:00,152,201
2025-03-16 17:00:00,152,209
2025-03-16 18:00:00,152,202
2025-03-16 19:00:00,152,199
2025-03-16 20:00:00,152,202
2025-03-16 21:00:00,152,197
2025-03-16 22:00:00,152,183
2025-03-16 23:00:00,152,181
2025-03-17 00:00:00,152,178
2025-03-17 01:00:00,152,168
2025-03-17 02:00:00,152,178
2025-03-16 03:00:00,153,89
2025-03-16 04:00:00,153,96
2025-03-16 05:00:00,153,103
2025-03-16 06:00:00,153,105
